sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
3105815,3,8,0,0,0,0,24,27,30,42,2,No,0,0.98,0.96,0,Yes,No,No,Yes,No,No
4809327,5,12,0,0,0,0,0,0,0,0,1,No,0,0.31,0.37,0,No,No,No,Yes,No,No
4902080,55,8,0,283,427,523,47,200,454,849,40,No,0,0.91,0.95,3,No,No,Yes,Yes,No,No
2261084,0,2,0,7,7,7,0,0,0,0,0,No,0,0,0,0,Yes,No,No,Yes,No,No
3695290,245,8,0,0,0,0,2,4,11,26,1,No,0,0.96,0.9,0,No,No,No,Yes,No,No
2864791,8,8,0,0,0,0,1,1,1,2,0,No,0,0.81,0.75,0,No,No,No,Yes,No,No
3320499,13,3,0,0,0,0,1,8,11,12,0,No,0,1,0.99,0,No,No,No,Yes,No,No
3780105,87,2,6,120,120,240,32,77,121,411,41,No,0,0.99,0.99,0,No,No,No,Yes,No,No
4900006,415,8,0,0,0,0,0,1,2,5,0,No,0,0.52,0.49,0,No,No,No,Yes,No,No
4912598,60,8,0,0,0,0,0,0,1,1,2,No,0,0.56,0.6,0,No,No,No,Yes,No,No
3629195,13,14,0,0,0,0,0,0,0,0,2,No,0,1,0.99,0,No,No,No,Yes,No,No
4821172,17,8,0,0,0,0,0,2,5,5,2,No,0,0.95,0.96,0,No,No,No,Yes,No,No
3689806,164,8,129,172,298,382,96,231,374,600,159,No,0,1,1,0,No,No,No,Yes,No,No
3754486,8,8,0,0,0,5,0,0,1,8,0,No,0,0.13,0.46,0,No,No,No,Yes,No,No
3401811,13,4,0,0,0,0,0,0,0,0,0,No,0,0.73,0.78,0,Yes,No,No,Yes,No,No
4762446,102,8,16,56,132,225,35,79,188,281,33,No,0,0.89,0.92,0,No,No,No,Yes,No,No
3649836,4,12,0,0,0,0,0,1,3,3,3,No,0,0.62,0.65,0,Yes,No,Yes,Yes,No,No
3504186,6,4,0,0,0,0,0,0,0,0,2,No,0,0.73,0.78,0,No,No,No,Yes,No,No
2878179,55,2,6,10,10,10,0,0,15,18,0,No,0,0.97,0.95,0,No,No,No,Yes,No,No
2928365,5,9,0,0,0,0,0,0,0,0,1,No,0,0.7,0.66,0,No,No,No,Yes,No,No
3243792,0,2,0,0,0,0,0,0,0,0,0,No,0,0.66,0.75,0,No,No,No,Yes,No,No
2300001,14,8,0,0,0,0,0,0,0,0,0,No,0,0.15,0.09,0,No,No,Yes,Yes,No,No
4806616,23,2,0,0,0,0,0,1,1,1,0,No,0,0.97,0.95,0,No,No,No,Yes,No,No
3608662,52,2,0,0,0,0,0,0,0,0,1,No,0,0.88,0.91,0,No,No,No,Yes,No,No
3331695,129,8,2,0,70,130,24,68,115,211,17,No,0,0.5,0.46,0,No,No,No,Yes,No,No
3260134,475,52,19,0,0,0,78,136,240,287,48,No,0,0.97,0.96,0,Yes,No,Yes,Yes,No,No
2288855,134,2,0,0,0,0,1,2,9,14,0,No,0,0.98,0.53,0,No,No,Yes,Yes,No,No
3816473,12,8,0,0,0,0,0,3,3,3,0,No,0,0.69,0.66,0,No,No,No,Yes,No,No
3040769,45,8,0,0,0,0,0,0,0,5,0,No,0,0.9,0.88,0,No,No,No,Yes,No,No
2212090,244,2,188,176,352,528,97,273,487,668,93,No,0,0.96,0.98,0,No,No,No,Yes,No,No
4921078,91,2,0,0,0,0,0,0,82,82,0,No,0,0.61,0.66,0,Yes,No,Yes,Yes,No,No
3316568,180,8,16,180,345,479,28,106,229,459,39,No,0,0.91,0.95,0,No,No,No,Yes,No,No
2933599,343,8,4,88,176,396,65,213,438,691,78,No,0,0.97,0.91,0,No,No,No,Yes,No,No
3120281,2,9,0,0,0,0,0,0,0,0,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
4879561,3,9,0,0,0,0,0,0,1,1,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
3076034,13,4,0,0,0,0,0,0,0,0,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
3796043,14,4,0,0,0,0,0,0,0,19,0,No,0,0.71,0.8,0,No,No,No,Yes,No,No
2238164,16,2,0,0,0,0,0,0,0,0,2,No,0,0.83,0.86,0,No,No,No,Yes,No,No
2296089,3,8,0,0,0,0,0,0,0,0,0,No,0,0.18,0.31,0,No,No,No,Yes,No,No
4846399,10,8,0,0,0,0,0,0,0,0,0,No,0,0.92,0.96,0,No,No,No,Yes,No,No
4952642,13,12,0,0,0,0,0,0,0,0,1,No,0,0.46,0.48,0,Yes,No,No,Yes,No,No
3448521,159,4,29,123,216,278,32,98,191,299,42,No,0,0.06,0.18,0,No,No,No,Yes,No,No
4971944,872,4,0,0,0,0,2,4,9,18,0,No,0,0.71,0.8,0,No,No,No,Yes,No,No
3111032,8,2,0,24,48,48,2,13,31,53,7,No,0,1,0.5,0,No,No,No,Yes,No,No
3767778,94,9,0,0,0,0,3,6,12,26,2,No,0,0.67,0.75,0,No,No,No,Yes,No,No
3533264,2,12,0,0,0,0,0,0,0,0,0,No,0,0.56,0.63,0,No,No,No,Yes,No,No
3365421,133,8,0,0,0,0,0,0,0,0,2,No,0,0.99,0.99,0,No,No,Yes,Yes,No,No
3517813,3,8,0,0,0,0,0,0,0,0,0,No,0,0.99,0.96,0,No,No,No,Yes,No,No
2946455,2,2,0,4,8,12,0,4,8,9,0,No,0,1,0.99,0,No,No,No,Yes,No,No
3281630,8,8,0,0,1,2,0,1,5,5,0,No,0,0.86,0.94,0,No,No,Yes,Yes,No,No
2857182,3,8,0,16,24,40,7,18,32,44,0,No,0,0.78,0.75,0,No,No,No,Yes,No,No
3169756,4890,52,0,0,0,0,0,5,26,41,0,No,0,0.94,0.87,0,Yes,No,No,No,No,No
2302606,3,2,0,1,1,1,1,2,2,2,0,No,0,0.54,0.56,0,Yes,No,No,Yes,No,No
3699698,25,2,0,0,0,0,0,0,0,0,0,No,0,0.62,0.81,0,No,No,No,Yes,No,No
3764354,1,9,0,0,0,0,0,1,1,1,0,No,0,0.68,0.67,0,No,No,No,Yes,No,No
4882151,29,10,0,0,48,48,7,16,30,49,1,No,0,0.76,0.83,0,No,No,No,Yes,No,No
2979030,65,8,0,0,1,2,0,0,0,1,0,No,0,0.88,0.94,0,No,No,No,Yes,No,No
2880321,9,4,0,6,6,12,0,4,11,21,0,No,0,1,0.9,0,No,No,Yes,Yes,No,No
4882586,4,2,0,0,0,0,0,0,0,0,0,No,0,0.8,0.79,0,No,No,No,Yes,No,No
4937098,11,10,0,0,0,0,0,0,0,0,0,No,0,0.88,0.9,0,No,No,No,Yes,No,No
3265129,107,8,16,100,200,300,26,86,168,244,37,No,0,1,0.99,0,No,No,No,Yes,No,No
3721676,11,8,0,0,0,0,0,3,4,5,0,No,0,0,0.79,0,No,No,No,Yes,No,No
3478334,17,2,0,0,0,0,0,1,1,5,0,No,0,0.98,0.82,0,No,No,No,Yes,No,No
2190958,271,8,0,0,0,0,1,2,6,8,1,No,0,0.48,0.53,0,No,No,No,Yes,No,No
3212015,10,8,0,0,4,12,13,43,63,72,1,No,0,0.69,0.74,0,Yes,No,No,Yes,No,No
4907058,11,2,0,0,0,0,0,0,0,0,0,No,0,0.82,0.89,0,Yes,No,No,Yes,No,No
3541015,0,2,0,0,0,0,0,0,0,0,0,No,0,0.88,0.85,0,No,No,No,Yes,No,No
3404027,251,8,0,0,0,0,0,0,0,2,1,No,0,0.38,0.18,0,No,No,No,Yes,No,No
2149717,0,8,0,5,5,5,0,0,0,0,0,No,0,0.37,0.36,0,No,No,No,Yes,No,No
2937133,4,2,0,4,4,4,0,0,0,0,0,No,0,1,0.99,0,Yes,No,No,Yes,No,No
3472864,12,12,0,0,0,0,0,0,0,0,1,No,0,0.48,0.48,0,Yes,No,No,Yes,No,No
4760521,21,8,0,0,0,0,0,0,0,0,0,No,0,1,0.98,0,Yes,No,No,Yes,No,No
3906602,33,2,0,100,100,100,7,20,54,89,0,No,0,0.83,0.92,0,No,No,No,Yes,No,No
3157761,3,9,0,0,0,0,0,0,0,0,0,No,0,0.7,0.66,0,No,No,No,Yes,No,No
2280061,7,4,0,0,0,0,0,0,0,0,0,No,0,0.73,0.78,0,Yes,No,No,Yes,No,No
3674509,5,8,0,0,0,0,0,0,0,0,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
4973605,368,2,244,600,1275,1950,186,621,1430,2165,200,No,0,0.98,0.98,0,No,No,No,Yes,No,No
2256046,24,2,0,0,0,0,2,3,10,19,2,No,0,0.84,0.83,0,No,No,No,Yes,No,No
3926035,0,2,0,5,65,65,0,0,0,0,0,No,0,0.78,0.71,0,Yes,No,No,Yes,No,No
2212750,2548,2,1281,2150,3870,5160,570,1925,3893,5979,534,No,0,0.95,0.94,0,No,No,No,Yes,No,No
4810777,4,12,0,20,20,20,0,0,0,0,1,No,0,0.35,0.29,0,Yes,No,No,No,No,No
2118529,22,9,0,27,55,83,6,19,36,61,0,No,0,0.99,0.98,0,No,No,No,Yes,No,No
3835005,12,8,0,0,0,0,0,0,0,1,0,No,0,0.95,0.91,0,No,No,No,Yes,No,No
2869991,2,14,0,0,0,0,0,0,0,0,2,No,0,0.99,0.99,0,No,No,No,Yes,No,No
3675562,11,8,0,1,12,23,3,9,18,30,1,No,0,0.73,0.8,0,No,No,No,Yes,No,No
3566186,4,12,0,0,0,0,0,0,0,0,0,No,0,0.56,0.63,0,No,No,No,Yes,No,No
3737943,184,8,0,0,0,0,3,7,14,32,6,No,0,1,1,0,No,No,No,Yes,No,No
2291126,8,12,0,0,0,0,1,2,4,5,4,No,0,1,1,0,No,No,No,Yes,No,No
3744818,119,9,0,0,29,58,12,49,75,117,14,No,0,0.67,0.75,0,No,No,No,Yes,No,No
3612325,25,8,0,0,0,0,1,7,12,23,3,No,0,0.81,0.88,0,No,No,No,Yes,No,No
2089170,1,8,2,4,4,4,2,4,8,14,0,No,0,0.93,0.85,0,No,No,No,Yes,No,No
3121746,1,8,0,0,0,0,0,2,2,3,0,No,0,1,1,0,Yes,No,No,Yes,No,No
2254585,141,12,194,300,700,1100,82,276,534,744,56,No,0,0.94,0.87,0,No,No,No,Yes,No,No
3095178,13,4,1,6,11,11,6,10,16,30,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
2203443,46,16,4,96,96,96,11,33,90,147,46,No,24,0.66,0.63,0,No,No,No,Yes,No,No
3115734,0,2,0,20,20,20,0,0,0,0,0,No,0,0,0,0,Yes,No,No,Yes,No,No
3500919,14,2,0,0,0,0,3,4,4,6,0,No,0,0.82,0.81,0,No,No,No,Yes,No,No
2983030,9,6,0,0,0,0,0,0,2,4,0,No,0,0.79,0.66,0,No,No,No,Yes,No,No
3486838,170,2,0,0,0,0,15,43,75,107,27,No,0,0.67,0.69,0,No,No,No,Yes,No,No
3833142,1588,8,4,0,0,0,15,50,101,190,37,No,0,1,0.97,0,No,No,No,Yes,No,No
2827014,11,4,0,0,0,0,0,0,0,0,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
2078263,111,8,17,48,96,120,22,62,135,226,37,No,0,1,1,0,No,No,No,Yes,No,No
3803196,3,12,0,0,0,0,0,0,0,0,0,No,0,0.59,0.65,0,No,No,No,Yes,No,No
4976368,76,4,12,122,227,318,39,123,266,295,22,No,0,0.95,0.79,0,No,No,No,Yes,No,No
3785042,4,8,0,6,17,26,3,5,12,15,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
3543638,4,52,0,0,0,0,1,2,2,3,1,No,0,0.8,0.88,0,No,No,No,Yes,No,No
3335162,121,4,0,0,0,0,1,4,13,21,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
3414825,4,2,0,2,6,10,0,1,1,1,0,No,0,0.79,0.87,0,No,No,No,Yes,No,No
4848338,2,8,0,20,20,20,2,4,4,5,1,No,0,0.97,0.98,0,No,No,No,Yes,No,No
4983025,50,8,16,22,22,22,14,38,67,97,13,No,0,0.91,0.94,0,No,No,No,Yes,No,No
3828346,899,12,0,0,0,0,0,0,0,0,3,No,0,0.81,0.74,0,No,No,No,Yes,No,No
4777442,29,8,0,0,0,0,0,0,0,1,1,No,0,1,1,0,No,No,No,Yes,No,No
4932847,20,12,0,0,0,0,0,0,0,0,1,No,0,0.46,0.48,0,Yes,No,No,Yes,No,No
2177671,479,4,26,828,1372,1436,77,267,544,758,89,No,0,0.99,0.99,0,Yes,No,No,No,No,No
3759757,32,8,0,0,0,0,0,0,0,0,0,No,0,0.62,0.67,0,No,No,No,Yes,No,No
3664805,2,8,0,0,0,0,2,2,2,3,0,No,0,0.8,0.87,0,No,No,No,Yes,No,No
3427649,780,8,0,0,0,0,0,0,0,0,0,No,0,0.81,0.89,0,No,No,No,Yes,No,No
3928890,60,4,0,0,0,0,0,0,0,0,0,No,0,0.71,0.8,0,No,No,No,Yes,No,No
3778787,6,8,0,4,4,12,3,5,8,15,0,No,0,1,1,0,No,No,No,Yes,No,No
3858591,9,9,2,10,18,24,2,8,16,30,0,No,0,0.8,0.82,0,No,No,No,Yes,No,No
4806931,98,8,8,30,60,120,14,45,103,157,29,No,0,0.94,0.97,0,No,No,No,Yes,No,No
3438504,14,8,0,0,9,27,3,7,18,22,0,No,0,0.98,0.99,0,No,No,No,Yes,No,No
3416954,64,0,0,0,0,0,0,13,25,35,10,No,0,0,0,0,No,No,No,Yes,No,No
2240131,4,8,3,1,6,7,0,0,0,0,0,No,0,0.99,0.96,0,No,No,No,Yes,No,No
3852842,5,12,0,0,0,0,0,0,1,1,1,No,0,0.81,0.74,0,No,No,Yes,Yes,No,No
2858020,2,8,0,0,0,0,0,0,0,0,0,No,0,0.82,0.81,0,No,No,No,Yes,No,No
3408803,12,12,0,0,8,12,5,7,23,42,0,No,0,0.37,0.34,0,No,No,Yes,Yes,No,No
2202189,2,12,0,0,0,0,0,0,0,0,0,No,0,0.73,0.76,0,No,No,Yes,Yes,No,No
3520978,7,8,0,2,2,2,1,4,10,15,2,No,0,0.95,0.98,0,No,No,No,Yes,No,No
2306067,249,12,0,0,0,0,0,0,1,1,2,No,0,0.77,0.82,0,Yes,No,No,Yes,No,No
2269118,3094,2,0,1590,2680,3770,373,1241,2245,3532,511,No,0,1,0.99,0,No,No,No,Yes,No,No
2832053,2,8,0,0,0,0,0,0,0,0,0,No,0,0.9,0.95,0,Yes,No,No,Yes,No,No
3969490,139,2,11,0,14,56,18,60,120,142,18,No,0,0.49,0.53,0,No,No,No,Yes,No,No
2986318,2,4,7,0,0,0,0,0,0,0,1,No,0,0.22,0.15,0,Yes,No,No,Yes,No,No
3046357,37,8,0,0,0,0,3,3,7,39,1,No,0,0.95,0.96,0,No,No,No,Yes,No,No
3298211,22,9,0,0,0,0,0,0,0,0,0,No,0,0.85,0.82,0,No,No,No,Yes,No,No
3535497,78,4,0,0,0,0,3,18,83,116,0,No,0,0.71,0.79,0,No,No,No,Yes,No,No
2310482,0,12,0,0,0,0,0,0,0,0,0,No,0,0.92,0.89,0,No,No,No,Yes,No,No
3799489,40,8,0,240,240,240,1,31,71,105,29,No,0,0.86,0.88,0,No,No,No,Yes,No,No
2125336,33,8,0,0,8,20,13,29,62,86,6,No,0,0.89,0.94,0,No,No,No,Yes,No,No
3393419,3,12,0,0,0,0,0,0,0,0,0,No,0,0.57,0.68,0,No,No,No,Yes,No,No
3738481,3,8,0,0,0,0,0,0,0,0,2,No,0,0.37,0.37,0,No,No,Yes,Yes,No,No
3146475,8,2,0,0,0,0,1,3,4,4,1,No,0,0.03,0.1,0,Yes,No,No,Yes,No,No
3886231,256,8,1,0,0,180,24,80,147,220,27,No,0,0.47,0.67,0,No,No,No,Yes,No,No
3212898,189,8,98,196,392,588,65,199,396,597,69,No,0,0.97,0.92,0,No,No,No,Yes,No,No
3758109,125,9,0,70,125,164,20,64,128,180,22,No,0,0.67,0.75,0,No,No,No,Yes,No,No
3042158,4,12,0,0,0,0,0,0,0,0,0,No,0,0.77,0.73,0,No,No,No,Yes,No,No
3606472,2,8,0,0,0,0,0,0,0,0,0,No,0,0.66,0.78,0,No,No,No,Yes,No,No
2874569,13,12,0,3,12,22,4,14,32,47,1,No,0,0.73,0.7,0,No,No,No,Yes,No,No
2870947,17,9,3,0,0,0,0,0,9,18,0,No,0,0.85,0.82,0,No,No,No,Yes,No,No
3390735,140,8,0,100,200,300,18,100,233,362,48,No,0,0.4,0.63,0,No,No,No,Yes,No,No
4778347,45,12,0,0,0,0,0,0,0,0,0,No,0,0.86,0.89,0,No,No,Yes,Yes,No,No
3381655,5,8,0,0,0,0,0,1,1,1,0,No,0,0.95,0.77,0,No,No,No,Yes,No,No
3644407,10,8,0,0,0,0,0,1,1,2,1,No,0,0.83,0.84,0,No,No,No,Yes,No,No
3231919,2,4,0,0,0,0,0,0,0,0,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
2880427,3,4,0,0,0,0,0,0,0,0,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
3597658,30,9,0,0,0,0,0,0,0,0,4,No,0,0.68,0.67,0,No,No,No,Yes,No,No
3223537,239,8,0,0,250,250,26,111,235,312,65,No,0,0.99,0.96,0,No,No,No,Yes,No,No
2886315,11,12,1,7,7,7,0,0,0,0,1,No,0,0.48,0.48,0,Yes,No,No,Yes,No,No
3375353,48,2,18,75,150,210,27,79,157,235,28,No,0,0.93,0.92,0,No,No,No,Yes,No,No
3773243,9,2,0,7,7,7,2,5,5,5,3,No,0,0.29,0.17,0,No,No,No,Yes,No,No
3292369,6,2,0,0,0,0,0,0,2,2,0,No,0,0.99,0.99,0,Yes,No,No,Yes,No,No
3544188,29,8,0,0,0,0,0,0,0,0,0,No,0,0.99,0.99,0,No,No,Yes,Yes,No,No
3354969,5,8,0,0,2,4,0,1,4,7,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
3483570,3,9,0,0,0,0,0,0,0,0,0,No,0,0.58,0.45,0,No,No,No,Yes,No,No
3396341,446,9,0,0,0,0,36,94,102,122,105,No,0,0.96,0.95,0,No,No,No,No,No,No
2818043,81,2,0,0,0,0,2,10,11,14,0,No,0,0.87,0.92,0,No,No,No,Yes,No,No
3901787,703,8,87,494,613,970,181,552,999,1470,178,No,0,0.98,0.98,0,No,No,No,Yes,No,No
3122978,98,2,0,0,0,0,0,0,0,0,0,No,0,0.99,0.98,0,No,No,No,Yes,No,No
2216891,4,12,0,0,0,0,0,0,0,0,0,No,0,0.73,0.76,0,Yes,No,No,Yes,No,No
2869967,18,12,0,0,0,0,0,0,1,1,0,No,0,0.77,0.73,0,No,No,No,Yes,No,No
4786829,161,2,0,0,72,144,11,53,140,237,31,No,0,0.98,0.98,0,No,No,No,Yes,No,No
4820776,4,2,0,0,20,20,0,0,0,0,0,No,0,0.97,0.98,0,Yes,No,No,Yes,No,No
2248257,4,4,0,0,0,0,0,0,0,0,0,No,0,0.73,0.78,0,No,No,No,Yes,No,No
2168373,9,2,0,0,0,0,0,0,0,0,0,No,0,0.99,0.98,0,No,No,No,Yes,No,No
3863090,2,8,0,0,0,0,0,0,0,0,0,No,0,0.8,0.79,0,No,No,No,Yes,No,No
3896417,9,8,0,0,0,0,0,3,4,6,1,No,0,0.99,0.99,0,No,No,No,Yes,No,No
3622362,7,8,0,0,0,0,0,0,0,0,1,No,0,0.97,0.95,0,Yes,No,Yes,Yes,No,No
3592939,207,8,0,0,0,0,15,49,108,189,28,No,0,0.72,0.8,0,No,No,No,Yes,No,No
3178000,19,9,0,0,0,0,0,0,0,0,0,No,0,0.85,0.82,0,No,No,No,Yes,No,No
3142681,17,8,0,0,0,0,0,1,7,12,0,No,0,0.39,0.29,0,No,No,No,Yes,No,No
2861750,234,4,0,288,432,576,35,123,195,195,0,No,0,0.74,0.69,0,Yes,No,No,Yes,No,No
3851929,6,8,0,0,0,0,0,0,1,1,3,No,0,0,0,0,Yes,No,No,Yes,No,No
3280419,832,14,29,91,482,950,143,452,1004,1621,124,No,0,0.75,0.72,0,No,No,No,Yes,No,No
3346498,11689,4,33,0,0,0,131,399,917,1782,132,No,0,0.98,0.96,0,No,No,No,Yes,No,No
3635651,64,2,0,0,0,0,0,0,0,0,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
2996939,117,8,3,107,226,345,51,109,231,395,41,No,0,0.6,0.74,0,No,No,No,Yes,No,No
3301391,1498,2,209,3000,5400,7800,742,2383,4535,6885,718,No,0,0.93,0.96,0,No,No,No,Yes,No,No
3564940,154,4,0,0,0,0,1,3,6,8,15,No,0,0.22,0.16,0,Yes,No,No,Yes,No,No
4961852,3,12,0,0,0,0,0,0,0,2,0,No,0,0.45,0.41,0,Yes,No,No,No,No,No
4872025,0,2,0,16,16,16,0,0,0,0,0,No,5,0.8,0.67,0,Yes,No,No,Yes,No,No
3831638,567,2,184,1032,2064,3264,320,1112,2207,3341,594,No,0,0.99,0.99,0,No,No,No,Yes,No,No
3154848,2,8,0,0,0,0,0,0,0,0,0,No,0,0.4,0.42,0,No,No,No,Yes,No,No
3583903,11,8,0,0,0,0,0,0,0,0,0,No,0,0.93,0.94,0,Yes,No,No,Yes,No,No
3349753,9,2,0,0,0,0,2,5,5,5,0,No,0,0.83,0.69,0,No,No,No,Yes,No,No
3069555,0,2,0,10,10,10,0,0,0,0,0,No,0,0.82,0.81,0,No,No,Yes,Yes,No,No
3804907,65,2,8,16,40,56,11,29,61,93,18,No,0,0.92,0.96,0,No,No,No,Yes,No,No
3925135,106,12,0,0,0,0,0,0,1,1,0,No,0,0.56,0.8,0,No,No,No,Yes,No,No
3816177,13,8,0,0,0,0,0,0,0,0,0,No,0,0.71,0.75,0,No,No,Yes,Yes,No,No
3848030,134,8,0,0,0,0,0,2,2,2,1,No,0,0.83,0.78,0,No,No,No,Yes,No,No
3297848,206,2,273,680,1280,2000,199,672,1193,1810,239,No,0,0.95,0.95,1,No,No,No,Yes,No,No
3103777,7,9,0,0,0,0,0,0,0,0,0,No,0,0.85,0.82,0,No,No,No,Yes,No,No
3469541,228,8,1,82,190,244,44,103,204,321,46,No,0,0.83,0.92,0,No,No,No,Yes,No,No
2261635,1350,8,0,0,0,0,2,16,48,172,2,No,0,0.98,0.91,0,No,No,No,Yes,No,No
4968663,15,12,0,17,34,68,13,30,47,70,5,No,0,0.63,0.75,0,No,No,No,Yes,No,No
3210190,42,8,0,0,0,0,2,5,5,6,2,No,0,0.74,0.58,0,No,No,No,Yes,No,No
2864033,2,2,0,0,0,0,0,0,0,0,1,No,0,0.98,0.94,0,No,No,No,Yes,No,No
3473255,3,12,0,0,0,0,0,0,0,0,0,No,0,0.57,0.68,0,No,No,No,Yes,No,No
2176299,1,12,3,34,52,76,13,38,61,80,13,No,0,0.73,0.69,0,No,No,No,Yes,No,No
3234741,13,12,0,0,0,0,0,0,0,0,0,No,0,0.48,0.48,0,Yes,No,No,Yes,No,No
2304385,3750,8,4,0,0,0,54,104,185,343,51,No,0,1,0.99,0,No,No,No,Yes,No,No
3813937,21,9,3,0,0,0,0,0,3,5,0,No,0,0.8,0.82,0,No,No,No,Yes,No,No
3674275,120,2,0,0,0,0,2,7,12,18,4,No,0,0.86,0.78,0,No,No,No,Yes,No,No
3943505,500,12,0,0,0,0,0,0,0,0,0,No,0,0.88,0.86,0,No,No,Yes,Yes,No,No
4893779,42,2,0,11,44,66,0,5,5,5,0,No,0,1,1,0,No,No,No,Yes,No,No
3629393,0,2,0,4,7,8,0,0,0,0,0,No,0,0.56,0.63,0,No,No,No,Yes,No,No
